,Yelp URL,Rating,Date,Review Text,Name
17159,https://www.yelp.com/biz/donut-bar-las-vegas,2,9/9/2017,"This review is for the Creme brÃ»lÃ©e donut. Texture was great---crisp caramelized sugar glaze with a creamy center. However, the taste was very lacking. The caramelized sugar tasted burnt and had a slight bitterness to it. The donut itself and the creme barely had any taste. It wasn't too sweet (which is a bonus for me) but it wasn't too ANYTHING. Im kind of disappointed and I've definitely had better donuts for cheaper prices. On a positive note, very cute inside and service was great! Parking can be a bit tricky--the parallel parking available near the store is all pay-to-park",donut-bar-las-vegas
1448,https://www.yelp.com/biz/carlos-bakery-las-vegas-3,5,9/9/2017,"Pros: great pastries, lots of detail and work go into each pastry, great prices, friendly staff, and fast service... Cons: small inside and gets crowded... Overall, a must place to visit in Las Vegas if you love pastries...they put so much effort and detail in every pastry that goes out of the kitchen...FYI Carlo is Buddy V's dad and is located across Buddy V's restaurant...much respect for Carlo because he cares about his customers and the details matter...",carlos-bakery-las-vegas-3
19572,https://www.yelp.com/biz/hopscotch-champaign,4,9/9/2017,Tucked away in a neighborhood is this bakery and store (milk eggs and such. We shared a blackberry rosemary pastry it was moist fresh tasting. If we hadn't filled up with apple fritters at Curtis Orchard we would carry out. Best to just enjoy good drip coffee.,hopscotch-champaign
10669,https://www.yelp.com/biz/jack-frost-donuts-cleveland,5,9/9/2017,"My favorites are Boston Cream, Peanut Butter Chocolate Raised, Maple Raised, Blueberry Cake & Glazed that are huge! I love trying their specialties from time to time. Fresh & Sinfully delicious!",jack-frost-donuts-cleveland
2950,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,5,9/9/2017,Best French pastries outside of Paris itself! Highly recommend the turnovers and croissants. YUM.,am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
17209,https://www.yelp.com/biz/donut-bar-las-vegas,5,9/9/2017,These donuts are a dream come true! I have been trying to go for a while now and I finally got to taste these delicious creations! They do sell out quickly so be sure to go early in the morning. I got the nutella donut and it was amazing. They have some very creative pastries like the Big Poppa which has an entire pop tart baked inside! The staff is very friendly as well. Great service and great donuts what more could anyone ask for?,donut-bar-las-vegas
2432,https://www.yelp.com/biz/handels-homemade-ice-cream-and-yogurt-las-vegas-3,5,9/9/2017,"My in-law family is from Ohio. This is a taste of home for them and I now absolutely LOVE this place. Never again will I go to a chain ice cream shop. Our top (and only) 3 picks are Buckeye, Gram Central Station, & Banana Cream Pie.",handels-homemade-ice-cream-and-yogurt-las-vegas-3
17392,https://www.yelp.com/biz/donut-bar-las-vegas,5,9/9/2016,"First of all, the donuts are out of this world!!! Secondly, the staff are so happy to be there. Walking in their store is like a breath of fresh air. Lovely experience overall.",donut-bar-las-vegas
16479,https://www.yelp.com/biz/donut-bar-las-vegas,4,9/9/2016,"So 200 plus reviews later not sure anything else can add.....but here we go anyway. I am just about positive am the last yelper that I know in Vegas that finally checked out Donut Bar. I noticed recently Donut Bar has started to open maybe once month or random times at night. So was like NICE finally get to try the pop tart and the creme brÃ»lÃ©e. All the videos seen of the creme brÃ»lÃ©e and one of the stables pop tart looked delicious. I do love my donuts from time to time. I heard that generally there a line when first open and the earlier get here the better. The later you come not really the best idea cause they make only so much donuts everyday and by the end slim pickings (truth nothing worst then stale donut). I got down little earlier because not sure where the place was and parking downtown flat out sucks. Honest if you park near Donut Bar they have self pay parking meters. If ur lucky depending time of day its SUPER easy and cost is cheaper then paying any hotel or parking structure. Dollar on the meter gives you hour. More then enough time (maybe if the line is long then that another story). I was surprise but the line was not that bad only four people ahead of me. Just the fact there was LINE for donut shop still blows my mind. Donut Bar does carry strong name brand. Chef Jeff is not only a passionate owner. The guy knows his donuts and all positive vibes. The minute he open the door greeting all five or six of us come on in. Friendly, all smiles, and love the atmosphere. The smell was awesome minute walked in!!! Fresh batch of donuts, the display case truly gives the donuts even more eye candy, the diversity crazy (oversize homer donut, rectangle pop tart, small circle creme brÃ»lÃ©e, traditional size ones but nothing traditional with the flavors or colors, and untraditional ones with donut cones fill with ice cream or strawberry split), and it long line of donut goodies. You might forget the selection at the top of the line. The place is small so gets filled up fast if want sit down. It located literally next to Carson Kitchen or look for the famous Donut Bar sign outside. The stumpton cold crew deserves shout out. I never had that brand before. I decided try the coconut flavor cold brew in carton. It was perfect compliment go with the donuts. They have other flavors. I believe one was chocolate and the other not sure. They also offer it on tap if you like. The donuts the pop tart is HUGE. If one person can eat one that pretty good. The way pop tart melting into the donut not sure if tasted any of the crust associate with pop tart. The filling you know if fan of pop tart is true and true. The icing and the goodies on top just pushed it sugar overload. I loved it. The creme brÃ»lÃ©e was good. I think that one better eat it on the spot cause the longer it sits the crack on top break it apart. Rock solid. I had fill out my box was got strawberry split. The strawberries was fresh, juicy, and I keep thinking strawberry shortcake.",donut-bar-las-vegas
15553,https://www.yelp.com/biz/churn-phoenix-3,5,9/9/2016,Visited this cute ice cream shop that is attached to Windsor. I love the variety of flavors that they have! You are able to sample anything that you'd like. I got a single split scoop of the Almond Joy and the chocolate mint. You can also add toppings like toasted marshmallow fluff as well. The ice cream is delicious and extremely flavorful. I highly recommend coming here especially after having a meal at Windsor.,churn-phoenix-3
2217,https://www.yelp.com/biz/handels-homemade-ice-cream-and-yogurt-las-vegas-3,4,9/9/2016,5/5 for flavor but unfortunately I did take away a star for the experience. I had no idea there was no seating and it was an order up place. Guess I should have read some reviews. Let me clarify there was a few benches that a bunch of kids were jumping off of and their clueless parents didn't care. Another annoying thing was the sign location of their flavor choices...TO ALL PARENTS: please be advised that when you prop you child or children on the counter in front of this sign it makes it very difficult for other to view. Staff was friendly and the four flavors we sampled were amazing! Just wish I was able to enjoy it not sitting on a curb with tons of kids around.,handels-homemade-ice-cream-and-yogurt-las-vegas-3
16924,https://www.yelp.com/biz/donut-bar-las-vegas,5,9/9/2016,"Super happy there is another vegan friendly donut place in Vegas!!! The donuts are unique, classic, and delicious. The coffee/tea is spot on and the perfect addition to your morning or afternoon pick me up. Make sure you get there early....the like to sell out fast! But, remember, they are now open late for those downtown bar goers! Enjoy!",donut-bar-las-vegas
15807,https://www.yelp.com/biz/churn-phoenix-3,3,9/9/2016,The products are great. It was slamming busy and the line was out to central. Standing outside for 30 minutes was well worth it for great service and amazing ice cream with a smile and fun.,churn-phoenix-3
14576,https://www.yelp.com/biz/jarlings-custard-cup-champaign-4,3,9/9/2015,"Okay, so I may be reprimanded for this rating! I don't get how this is good 'custard'. If custard stands for froyo-ish ice cream then yes it's good. Good texture, stays cold, no overpowering flavour and just yhe right amounts of sugar. And the lemon one is the best flavour. But, IMHO, this is not custard.",jarlings-custard-cup-champaign-4
4190,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,3,9/9/2015,Could have just been a busy night but I was not impressed. Good pastries though. Had a hard time with seating.,am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
4440,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,4,9/9/2015,"This has to be the best kept little secret in Charlotte! I only recently visited Amelies for the very first time. My daughter is a hair stylist in NoDa and asked if I'd go with her to grab some french pastries on her lunch break. I was so delighted by the atmosphere with chandeliers and colorful decor. They have plenty of parking and many delicious pastries, sandwiches, soups, quiches and salads to offer! I was in a hurry so I didn't have time to see the whole menu however I believe they also offer a great selection of coffee and beverages. My fruit tart was amazing! The only complaint I have is that it was very busy and the line was really long so it took awhile just to order food, then had to wait for it to be prepared and brought out to us. We spent 30 minutes in total, and was only expecting a quick 10-15 minute stop to grab some take out. If you are in a rush, be sure to allow a little more time to get thru the line, and I'm sure they are always very busy at the lunch hour, which is when I went. Will definitely go again and next time I'll plan to stay a bit longer and also try a hot coffee latte.",am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
12071,https://www.yelp.com/biz/prestis-bakery-cleveland,5,9/9/2015,A great meal and time in Little Italy in Cleveland! The Italian Sandwich was fresh and amazing along with the Antipasta salad. Well worth the trip!,prestis-bakery-cleveland
4099,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,5,9/9/2015,Love Amelie's! Great coffee and terrific sweet treats. Went here with my daughter and she loves the croissants and italian soda. I love the coffee. The new location on Hwy 51 in Pineville is outstanding.,am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
15866,https://www.yelp.com/biz/churn-phoenix-3,4,9/9/2015,Ingenuity & quality meets an old school candy shop feel for a great environment and killer ice cream. Gotta try a build your own ice cream sandwich!,churn-phoenix-3
8683,https://www.yelp.com/biz/sprinkles-las-vegas-las-vegas,5,9/9/2014,Sprinkles can do no harm in my book! Service always comes with a smile. Prices are very reasonable in the scope of gourmet bakeries. The best seasonal cupcake flavors pop up often that keep me coming back. The frosting on everything is to die happy. Structurally this location has all the extra special Sprinkles amenities like cupcake ATM and attached ice cream shoppe.,sprinkles-las-vegas-las-vegas
4391,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,4,9/9/2013,"Heard rave reviews about this place so we decided to check it out. To our surprise, this place is open 24/7/365! We went in around 10:30pm on a Saturday night and there was a line about 30 people long! Luckily the line moved quickly and I ordered a cappuccino and a chocolate mousse cup with a chocolate covered strawberry on top! Absolutely delicious! Seating can be a challenge as it seems they're constantly busy, but we were able to find somewhere to sit and enjoy our drinks and pastries! Love this place!",am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
4137,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,4,9/9/2012,"Let me note, the ONLY reason I'm not giving Amelie's five stars is there always been a crazy long wait each time I've gone. That is a good sign, but I wish they would address this and find a way to get customers thru the line quicker. That said, the caramel salted brownies are AMAZING!!! I could drive down from Winston-Salem just for those! I have tried other items there as well, the most recent being a raspberry peach torte. Delicious! The coffee options are divine as well. The facility is rambling, with quite the eclectic decor and it is one of the 'places' to be seen in NODA. It is open 24/7 and has quite a following now. I would suggest this place to anyone who is in Charlotte and wants a quick baked goods/coffee fix! Just remember about the wait...",am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
6030,https://www.yelp.com/biz/bouchon-bakery-las-vegas-10,5,9/9/2011,Pastries at this location is just as good as the one in NYC. :),bouchon-bakery-las-vegas-10
7851,https://www.yelp.com/biz/sweet-republic-scottsdale-2,5,9/9/2009,"SR is on my way home from work just off the 101 and Shea. I've stopped there half a dozen times in the last several months and enjoyed the most incredible ice cream ever. Yesterday, I had the Key Lime Pie ice cream and thought I had died and entered key lime heaven. I LOVE key lime pie and this is better! The ice cream creates a greater depth of flavor and a wonderful mouth feel that pie can't compare to. The graham crust inside is also nice and crunchy. Get this flavor while you can.",sweet-republic-scottsdale-2
5634,https://www.yelp.com/biz/bouchon-bakery-las-vegas-10,4,9/9/2009,"If you are into good french pastries and good coffee for breakfast, you'll get both at Bouchon bakery. I tried their raisin pain and the latte. The pain was surprisingly light and flaky, not too buttery although I'm sure it's layered with butter. The latte was good but I recommend 2 shots to balance out the milk. You also must try the fresh squeezed OJ. Unfortunately, it comes in large size only but I finished most of it, it was that good. For these 3 things, my tab was around $18, I think. It's pricey but everything is jacked up on the strip. I recommend the croissants, plain or chocolate. I'm not a fan of the strawberry croissant. It was mushy and too sweet (basically croissant topped with strawberry jam and dusting of powdered sugar). I will not be ordering that again. Btw, there is a killer espresso place right around the corner next to Crispy Creme. Do NOT order the espresso at that Illy gelato place.",bouchon-bakery-las-vegas-10
15060,https://www.yelp.com/biz/scooptopia-phoenix,5,9/8/2021,"Nothing tasted better after a hot day than one of their shaved ice concoctions. If you're debating getting the coconut cream added, just do it. It was so good!!!! I will be back. The girls behind the counter were also so sweet and just good energy!",scooptopia-phoenix
12268,https://www.yelp.com/biz/villanis-bakery-charlotte,5,9/8/2021,"Now let me tell you, I'm not a ""sweets"" type of gal, but Villani's has me craving their NY crumb cake and lemon bar. Omgosh, those two just keep me coming back. Those are a must have! They also have a variety of different cakes and pastries which I am open to trying, but I can't get away from my favs! Anyways, I would have to say I do love this place alil more than amelies, but only go to amelies due to their lime tart. Smaller business operation, than amelies but they are doing everything right! I will be back to get my sweets fix lol",villanis-bakery-charlotte
14711,https://www.yelp.com/biz/jarlings-custard-cup-champaign-4,2,9/8/2021,"I don't know why this gets so much praise. it's not that good. Maybe for people that don't have high standards, but I've yet to be impressed by this place. They are always packed though so someone must like it, but I really don't see it.",jarlings-custard-cup-champaign-4
2772,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,4,9/8/2020,"Had breakfast and coffee here while in Charlotte. Cute decor - no inside dining at this point but they have tables outside. The staff was very helpful, friendly and pleasant- offered a lot of help in terms of choices. We had a few items to taste. We also ordered coffees... cute place - I'd definitely go back!",am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
6193,https://www.yelp.com/biz/novel-ice-cream-phoenix,5,9/8/2020,"My Order: Cookie Monster. I haven't had much ice cream in Phoenix yet but it was a fantastic flavor. Will be visiting again to try out the leslie knope. Price: Appropriate for what we got. Service: Excellent, polite and quick. Seating/Social Distancing: No tables in the patio section in front of the serving window. Employees wearing masks. Doing the best they can. Parking: Free. Not crowded when I went. Street parking or small lot.",novel-ice-cream-phoenix
13468,https://www.yelp.com/biz/milk-bar-las-vegas-las-vegas-3,4,9/8/2020,"We stopped by late one night and grabbed the ""favorites pack"" which came with Milk Bar Pie, a compost cookie, birthday cake bites and a small thing of their cereal milk soft serve with corn flakes on top. The cake bites were great, but the milk bar pie stole the show. The cookie was not our cup of tea, but I enjoyed the soft serve. It was a little less sweet and the corn flakes were a nice contrast.",milk-bar-las-vegas-las-vegas-3
16506,https://www.yelp.com/biz/donut-bar-las-vegas,5,9/8/2019,"Looking for a place that delivers creative and delicious donuts?! Look now further because this is your place !! I hope they bring this a little closer to the strip because that would be a game changer. I went to brunch a couple of miles away from this location and thought - I'm on vacation ... I need donuts. This place did not disappoint. Make sure you get there early if you want a lot of options because this small joint is so popular that it sells out quickly. Oh and guess what ?!?! They have vegan donuts tooooooooo and a selection of coffee to pair your sweet donut with. I actually tried a cinnamon roll and it was the bomb dot com. Okay moment of truth, I actually ordered from here two more times during my stay from Uber Eats because they were just that good. And guess what else ?! My favorite donut actually turned out to be the began creme brÃ»lÃ©e!!! Please visit this place and try as many donuts as you can- you will leave stuffed but wanting more.",donut-bar-las-vegas
2849,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,4,9/8/2019,"Came here after the club/bar at 3 am I like that it's opened 24/7 but it suck that you don't have that much options late at night. Was sad we didn't get to order the creme brÃ»lÃ©e. The macaroons were good, the salted caramel brownies was good too a bit too sweet for me. The deluxe salted brownie bar was bomb. I didn't like the strawberries petit gateau was decent. The coconut macadamia ice coffee was good though. They only had two workers working and the line were long. Will be back earlier and try other things on the menu. 9.8.19: Came back here with my daughter. We ordered the mixed berry panthers macaroons, the vanilla macaroons, the layer torte caramel, two cream brÃ»lÃ©e, and the coconut macadamia ice coffee. The panthers macaroon will stain your tongue and teeth/lip for a bit but it's good, the cream brÃ»lÃ©e is ok but it's a bit eggy.",am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
2813,https://www.yelp.com/biz/am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11,5,9/8/2019,"Anytime I visit the area I try to make a point to come to Amelie's. I love their coffees, their food and especially the baked goods. I tried a lavender macaron this time, because I'm obsessed with anything lavender, and was pleasantly surprised to find lemon curd on the inside! What a delightful treat, these macarons are also huge! We got sandwiches as well, a pick-your-own breakfast croissant with bacon, egg and cheese, and the chicken, sun-dried tomato and goat cheese on a banquette. Yum! Excellent bread and yummy fresh ingredients. And of course we got more pastries to go!",am%C3%A9lies-french-bakery-and-caf%C3%A9-charlotte-11
14281,https://www.yelp.com/biz/milk-bar-las-vegas-las-vegas-3,5,9/8/2019,"We have had the birthday cake delivered to us (highly recommend) and had to come to the Vegas storefront. We got a slice of birthday cake and a cup of the cereal milk soft serve with corn flake topping. If you love sweets like we do, you can't go wrong here. Bring your dollars though!",milk-bar-las-vegas-las-vegas-3
9156,https://www.yelp.com/biz/fatty-daddys-scottsdale-5,1,9/8/2019,This is not an ice cream shop. I went this afternoon and got Nutella with hazelnut chocolate in a waffle cone with rainbow sprinkles. The ice cream had no taste and there were about 5 sprinkles on the cone even after I asked for more. Unacceptable for paying over $8.,fatty-daddys-scottsdale-5
13167,https://www.yelp.com/biz/ghirardelli-ice-cream-and-chocolate-shop-las-vegas-2,1,9/8/2019,I had Espresso Escape and it didn't have a tiny coffee flavor. BELLAGIO PATISSERIE is much much better with cheaper price. And the lady was ignoring about my question. Totally RIP OFF at $12 more. The feeling makes me never buy stuff from Ghiradelli anymore. Walked long way only for this and so sad had a bad experience.,ghirardelli-ice-cream-and-chocolate-shop-las-vegas-2
13527,https://www.yelp.com/biz/milk-bar-las-vegas-las-vegas-3,4,9/8/2019,"I was told ... when I'm Vegas make sure you stop here so of course I had to check it out! They're located right inside the cosmopolitan next to an Asian fusion restaurant. I asked them to give me there best recommended cookie and that's what I got! I got a warmed up cornflake chocolate marshmallow cookie - I've definitely had better cookies but I imagine if I were drunk and gambling, this cookie would've been mind blowing. I left a little disappointed but I would definitely give it another try.",milk-bar-las-vegas-las-vegas-3
15035,https://www.yelp.com/biz/scooptopia-phoenix,5,9/8/2019,"Great Dessert Place! Looking for something to satisfy your dessert craving? I recommend checking this place out! They have a variety of desserts here. They have a selection of different ice creams, my faves were the pistachio, the taro, and believe it or not, the unicorn poop, lol. The unicorn poop is purple vanilla ice cream with sprinkles. The Cookie Monster was good too, but it's very sweet. They also have boba, shaved ice drinks, floats and sobets. They have three non dairy ice cream flavors as well. What I got was the halo halo, a Filipino traditional dessert. They have a super special option that includes buko pandan. They top it with something crunchy which adds more texture to the halo halo. I enjoyed it! The way to eat a halo halo is to just go ahead and mix it all up. In Tagalog, halo halo, means mix mix, which is exactly the way to eat it. All the flavors become mixed together and it makes for a nice cold tasty treat!",scooptopia-phoenix
6474,https://www.yelp.com/biz/novel-ice-cream-phoenix,5,9/8/2019,"Literally the best ice cream I have ever had. Not to mention the customer service, the people that run this place are the only thing cooler than their ice cream. Don't be afraid to put it on the doughnut, it's so sinfully delicious you'll need to make it too mass on Sunday morning to repent. If I could give you guys ten million stars I would!",novel-ice-cream-phoenix
2225,https://www.yelp.com/biz/handels-homemade-ice-cream-and-yogurt-las-vegas-3,4,9/8/2019,"I decided to give this spot a try after driving by a couple of times and seeing a line extending out into the parking lot. Even though the line looks incredibly long, they have 4 windows where they are taking orders so, it actually moves relatively quickly. Their menu is also extensive. They have a ton of flavors and to my surprise, it's not that expensive. I was expecting Diary Queen or Cold Stone prices, but it was slightly cheaper. I ordered a Cotton Candy waffle cone and the it was great! I also tried the Strawberry Cheesecake Chunk & it was good although, the strawberry taste was a little too artificial for my liking. It tasted like vanilla ice cream mixed with Hershey's Strawberry syrup. But, I will definitely be going back to try some other flavors out !",handels-homemade-ice-cream-and-yogurt-las-vegas-3
1501,https://www.yelp.com/biz/carlos-bakery-las-vegas-3,3,9/8/2019,"Saw this place and I thought I would stop in. Yes, it's expensive....any where you go in LV it's expensive and they are on The Strip, so I can only imagine what their rent is in The Venetian. The cookies are large and everyone enjoyed them, you have to be pretty bad to mess up a cookie. My rating is lower because I'm a celiac. You would have thought by now they would have made something for someone like me and others to eat who can't have gluten. So, this is a one time stop to the shop.",carlos-bakery-las-vegas-3
