Scientific_Name,Plant_Name,Coverage,Bamboo,Bulb,Grass,Groundcover,Perennial,Palm,Shrub,Succulent,Tree,Vine,Native,Genetic_Concerns,Potentially_Invasive
"Agave Dasylirioides","Dasylirion Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Deserti",Agave,13,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Desmettiana","Dwarf Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Desmettiana 'Variegata'","Variegated Smooth Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Ellemeetiana 'satina'","Ellemeet's Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Ferdinand-Regis","Ferdinand Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Filifera","Thread-Leaf Agave",3,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Filifera Ssp. Filifera","Thread Agave",3,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Filifera Ssp. Microceps","Dwarf Thread Agave",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Filigree","Fligree Sierra Mixteca Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Franzosinii","Franzosinii Agave",64,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Geminiflora","Twin Flowered Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Geminiflora 'spaghetti Strap'","Spaghetti Strap Century Plant",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Gentryi","Hardy Agave",28,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Gentryi 'Jaws'","Hardy Agave",24,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Gentryi 'Jeffrey'","Jeff's Gray Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Gracilipes","Agave Gracilipes",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Guiengola","Guiengola Agave",20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Guiengola 'Creme Brulee'","Cråme Brulee Century Plant",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Guiengola 'Medio Picta'",Agave,20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Guiengola 'Platinum'","Platinum Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Gypsophila","Gypsum Century Plant",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Gypsophila 'Ivory Curls'","Variegated Gypsum Century Plant",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Horrida",Mexcalmetl,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Horrida Var. Perotensis",Mexcalmetl,2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Impressa","Impressa Agave",20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Impressa 'Green Giant'",Masparillo,20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Impressa 'Impressive'","Impressive Agave",20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Isthmensis","Dwarf Butterfly Agave",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Leopoldii","Leopoldii Agave",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Leopoldii 'Hammer Time'","Hammer's Striped Agave",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Lophantha 'Quadricolor'","Quadricolor Century Plant",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Macroacantha 'Blue Ribbon'","Small Black-Spined Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Macroacantha 'Pablo's Choice'","Small Black-Spined Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Marisaga Var. Lisa","Giant Agave",87,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Marmorata",Maguey,95,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Montana 'Baccarat'","Crystal Bowl Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Neomexicana","New Mexico Century Plant",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Nizadensis","Nizanda Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Ocahui","Ocahui Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Ovatifolia","Whale's Tongue Agave",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Ovatifolia 'Frosty Blue'","Frosty Blue Whale's Tongue Agave",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Ovatifolia 'Vanzie'","Vanzie Whale's Tongue Agave",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Palmeri 'Cutty Shark'","Cabbage Head Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Parrasana","Cabbage Head Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Parrasana 'Fireball'","Fireball Cabbage Head Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Parrasana 'Globe'","Cabbage Head Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Parryi","Century Plant",3,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Parryi Var. Huachucensis","Huachuca Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Parryi Var. Neomexicana","New Mexico Century Plant",3,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Parryi Var. Truncata","Artichoke Agave",20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Patonii 'Alba Marginata'","Alba Marginata Agave",1,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Pedunculifera","Durango Soft Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Pelona","Cabbage Head Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum","Butterfly Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum 'Cherry Swizzle'","Cherry Swizzle Butterfly Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum 'El Camarùn'","El Camarùn Butterfly Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum 'Ikari Raijin Nishiki'","Dwarf Butterfly Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum 'Kichiokan Marginata'","Dwarf Variegated Butterfly Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum 'Kichiokan'","Dwarf Butterfly Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum 'Kissho Kan'","Lucky Crown Century Plant",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potatorum 'Mariscal'","Butterfly Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Potrerana","Red Flowering Agave",7,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Pumila","Miniature Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Salmiana 'Butterfinger'","Butterfinger Alex's Agave",10,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Salmiana 'Green Giant'","Giant Agave",78,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Salmiana Var. Ferox 'Medio Picta'","Alex'A Agave",16,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Salmiana Var. Ferox 'Variegata'","Variegated Alex's Agave",20,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Schidigera 'Black Widow'","Thread-Leaf Agave",2,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Schidigera 'Durango Delight'","Durango Delight Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
"Agave Schidigera 'Durango'","Thread-Leaf Agave",5,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
