Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,2,Tierra Del Fuego,12.754,39.837,403,125,651,53.770
2022,2,Tucumán,85.893,15.327,148.823,3.997,487,254.527
2022,1,Buenos Aires,392.045,2.728.865,1.242.121,125.521,66.872,4.555.424
2022,1,Capital Federal,102.290,1.217.225,62.308,5.784,29.934,1.417.541
2022,1,Catamarca,14.181,15.517,29.118,1.328,2.234,62.378
2022,1,Chaco,32.391,64.546,36.662,8.164,2.356,144.119
2022,1,Chubut,44.133,66.667,9.184,30.592,21.052,171.628
2022,1,Córdoba,195.610,501.799,235.838,60.843,9.713,1.003.803
2022,1,Corrientes,40.462,79.093,10.875,6.774,5.374,142.578
2022,1,Entre Ríos,67.159,138.986,23.091,26.098,12.592,267.926
2022,1,Formosa,16.397,15.927,5.146,16.876,202,54.548
2022,1,Jujuy,21.307,60.616,25.949,4.662,3.975,116.509
2022,1,La Pampa,8.003,58.978,21.739,19.903,1.109,109.732
2022,1,La Rioja,9.103,59.228,9.546,6.395,31,84.303
2022,1,Mendoza,49.464,74.145,123.228,26.969,1.379,275.185
2022,1,Misiones,39.147,91.752,25.178,7.807,7.624,171.508
2022,1,Neuquén,28.443,73.200,24.193,23.098,745,149.679
2022,1,Río Negro,38.662,45.366,38.037,16.815,18.494,157.374
2022,1,Salta,44.714,98.667,40.994,5.950,7.190,197.515
2022,1,San Juan,34.038,14.449,11.294,20.723,7.674,88.178
2022,1,San Luis,7.987,11.296,31,71.809,28.721,119.844
2022,1,Santa Cruz,10.537,23.420,10.766,3.974,405,49.102
2022,1,Santa Fe,213.486,444.609,146.552,45.261,20.571,870.479
2022,1,Santiago Del Estero,18.118,87.979,1.093,6.349,2.922,116.461
2022,1,Tierra Del Fuego,13.031,38.700,416,124,340,52.611
2022,1,Tucumán,92.532,62.396,86.174,3.995,487,245.584
2021,4,Buenos Aires,426.325,2.706.506,1.176.024,126.887,73.415,4.509.157
2021,4,Capital Federal,111.360,1.205.128,60.005,5.679,29.947,1.412.119
2021,4,Catamarca,16.385,13.858,25.100,1.512,2.235,59.090
2021,4,Chaco,35.548,63.145,34.688,8.005,2.359,143.745
2021,4,Chubut,46.361,57.412,9.655,28.041,18.839,160.308
2021,4,Córdoba,212.011,487.489,217.214,61.277,8.779,986.770
2021,4,Corrientes,42.523,71.183,10.138,6.778,5.290,135.912
2021,4,Entre Ríos,70.459,133.387,23.452,25.022,12.726,265.046
2021,4,Formosa,17.211,15.111,5.151,16.018,172,53.663
2021,4,Jujuy,22.330,60.511,24.156,2.927,3.991,113.915
2021,4,La Pampa,8.175,58.000,20.192,19.286,1.354,107.007
2021,4,La Rioja,10.387,56.651,9.446,6.613,31,83.128
2021,4,Mendoza,59.842,71.553,109.667,24.666,1.859,267.587
2021,4,Misiones,41.778,92.068,22.035,7.649,7.602,171.132
2021,4,Neuquén,29.175,72.761,23.253,21.531,746,147.466
2021,4,Río Negro,42.037,44.495,32.212,16.558,18.451,153.753
2021,4,Salta,46.972,99.808,39.555,5.882,7.188,199.405
2021,4,San Juan,35.868,13.102,11.072,11.423,8.493,79.958
2021,4,San Luis,8.472,11.064,30,70.560,28.723,118.849
2021,4,Santa Cruz,10.790,22.902,10.031,4.346,417,48.486
2021,4,Santa Fe,233.427,444.373,128.856,43.556,16.229,866.441
2021,4,Santiago Del Estero,19.032,86.563,1.088,6.256,2.922,115.861
2021,4,Tierra Del Fuego,13.317,38.148,426,124,342,52.357
2021,4,Tucumán,97.830,59.022,78.790,2.511,486,238.639
2021,3,Buenos Aires,585.729,2.595.485,885.613,120.228,64.554,4.251.609
2021,3,Capital Federal,142.902,1.192.107,42.966,6.059,29.371,1.413.405
2021,3,Catamarca,18.413,11.709,22.331,1.568,2.233,56.254
2021,3,Chaco,38.258,63.659,27.583,8.018,2.353,139.871
2021,3,Chubut,49.269,55.794,8.946,23.376,18.681,156.066
2021,3,Córdoba,229.275,477.223,167.495,57.617,15.178,946.788
2021,3,Corrientes,44.805,69.403,7.542,6.766,5.303,133.819
2021,3,Entre Ríos,74.443,128.752,20.485,23.500,13.195,260.375
2021,3,Formosa,18.093,14.111,4.730,15.690,171,52.795
2021,3,Jujuy,23.554,60.758,19.926,2.952,3.968,111.158
2021,3,La Pampa,9.015,57.881,17.817,14.479,1.295,100.487
2021,3,La Rioja,11.329,54.744,9.444,6.613,30,82.160
2021,3,Mendoza,91.474,71.247,70.579,21.811,828,255.939
2021,3,Misiones,43.230,89.469,10.969,7.198,7.662,158.528
2021,3,Neuquén,29.650,73.794,16.455,19.270,640,139.809
2021,3,Río Negro,47.934,44.519,18.725,15.031,18.376,144.585
2021,3,Salta,49.212,98.318,36.126,5.724,6.453,195.833
2021,3,San Juan,40.072,12.922,6.670,11.372,8.447,79.483
2021,3,San Luis,8.417,11.884,27,68.856,28.680,117.864
2021,3,Santa Cruz,12.347,22.961,6.328,4.269,3.071,48.976
2021,3,Santa Fe,245.929,443.156,93.412,43.447,15.640,841.584
2021,3,Santiago Del Estero,19.939,85.535,909,6.147,2.928,115.458
2021,3,Tierra Del Fuego,12.853,36.958,6,16,390,50.223
2021,3,Tucumán,104.489,53.868,70.964,2.408,743,232.472
2021,2,Buenos Aires,603.255,2.503.830,854.173,113.546,57.547,4.132.351
2021,2,Capital Federal,148.989,1.175.097,41.318,5.580,29.371,1.400.355
2021,2,Catamarca,20.305,9.426,22.331,1.449,2.233,55.744
2021,2,Chaco,39.826,62.948,27.584,8.018,2.353,140.729
2021,2,Chubut,49.271,41.497,6.081,23.682,18.706,139.237
2021,2,Córdoba,239.780,467.782,151.855,55.944,15.519,930.880
2021,2,Corrientes,46.648,67.262,3.731,6.557,5.303,129.501
2021,2,Entre Ríos,77.836,124.957,17.856,23.786,13.197,257.632
2021,2,Formosa,19.571,12.509,3.610,15.690,171,51.551
2021,2,Jujuy,24.738,60.800,19.611,2.731,3.968,111.848
2021,2,La Pampa,9.017,57.014,17.132,13.209,1.295,97.667
2021,2,La Rioja,11.627,54.255,9.445,6.245,30,81.602
2021,2,Mendoza,91.503,70.834,44.696,21.811,827,229.671
2021,2,Misiones,44.960,87.861,10.376,5.317,7.662,156.176
2021,2,Neuquén,30.083,72.690,15.619,19.218,640,138.250
2021,2,Río Negro,48.189,43.761,18.727,15.031,18.376,144.084
2021,2,Salta,51.396,96.016,32.050,5.724,6.453,191.639
2021,2,San Juan,40.072,12.369,6.673,11.372,8.447,78.933
2021,2,San Luis,8.417,11.308,28,66.860,36.205,122.818
2021,2,Santa Cruz,12.347,22.967,6.328,4.269,3.071,48.982
2021,2,Santa Fe,256.741,431.915,90.424,43.997,17.523,840.600
2021,2,Santiago Del Estero,20.734,83.770,909,5.081,3.596,114.090
2021,2,Tierra Del Fuego,12.853,22.504,6,14,316,35.693
2021,2,Tucumán,110.429,48.359,71.683,1.837,743,233.051
2021,1,Buenos Aires,629.679,2.452.056,821.597,98.806,57.864,4.060.002
2021,1,Capital Federal,159.805,1.145.093,39.980,5.559,29.236,1.379.673
2021,1,Catamarca,26.316,4.409,18.688,322,2.233,51.968
2021,1,Chaco,43.214,61.251,25.426,8.004,1.875,139.770
2021,1,Chubut,45.501,40.960,3.444,23.723,18.712,132.340
2021,1,Córdoba,260.350,444.695,134.634,54.137,17.065,910.881
2021,1,Corrientes,49.160,62.876,3.337,5.949,5.303,126.625
2021,1,Entre Ríos,83.688,118.424,16.846,20.836,12.169,251.963
2021,1,Formosa,20.663,11.412,2.562,15.669,380,50.686
2021,1,Jujuy,32.254,54.324,17.322,2.677,3.879,110.456
2021,1,La Pampa,8.946,58.711,15.779,12.369,1.300,97.105
2021,1,La Rioja,17.363,34.984,1,250,30,52.628
2021,1,Mendoza,91.844,69.295,38.619,18.332,833,218.923
2021,1,Misiones,48.292,82.339,7.064,4.796,6.896,149.387
2021,1,Neuquén,30.223,70.457,14.171,17.752,632,133.235
2021,1,Río Negro,48.777,42.192,17.828,13.994,18.377,141.168
2021,1,Salta,54.768,89.187,31.498,5.669,6.452,187.574
2021,1,San Juan,40.072,11.589,6.671,11.482,8.453,78.267
2021,1,San Luis,8.417,10.678,28,63.826,36.205,119.154
2021,1,Santa Cruz,12.347,23.089,5.975,4.264,390,46.065
2021,1,Santa Fe,277.012,421.480,70.976,39.140,17.519,826.127
2021,1,Santiago Del Estero,26.468,75.849,570,5.158,3.596,111.641
2021,1,Tierra Del Fuego,12.853,27.247,6,0,316,40.422
2021,1,Tucumán,147.199,12.185,69.954,1.834,740,231.912
2020,4,Buenos Aires,635.651,2.441.248,804.991,93.444,57.927,4.033.261
2020,4,Capital Federal,163.060,1.142.528,39.890,4.815,29.237,1.379.530
2020,4,Catamarca,26.870,5.115,17.856,322,2.233,52.396
2020,4,Chaco,44.332,61.200,23.687,7.997,1.875,139.091
2020,4,Chubut,45.703,39.756,3.040,23.363,18.712,130.574
2020,4,Córdoba,267.396,439.322,125.620,52.827,17.536,902.701
2020,4,Corrientes,50.102,61.495,3.146,5.626,5.290,125.659
2020,4,Entre Ríos,85.683,113.670,15.653,20.206,12.169,247.381
2020,4,Formosa,21.264,10.789,2.432,15.341,380,50.206
2020,4,Jujuy,32.850,52.815,15.639,1.077,3.470,105.851
2020,4,La Pampa,9.009,58.945,15.432,12.194,1.315,96.895
2020,4,La Rioja,17.513,34.984,1,250,30,52.778
2020,4,Mendoza,91.842,68.364,36.083,18.331,833,215.453
2020,4,Misiones,49.462,79.855,6.589,4.359,6.896,147.161
2020,4,Neuquén,30.468,70.614,13.732,17.689,632,133.135
2020,4,Río Negro,48.991,42.022,17.826,13.994,18.377,141.210
2020,4,Salta,56.659,87.817,30.604,5.858,6.452,187.390
2020,4,San Juan,40.072,7.004,6.599,10.468,8.453,72.596
2020,4,San Luis,8.417,11.767,27,63.019,36.205,119.435
2020,4,Santa Cruz,12.347,19.657,1.041,4.659,2.970,40.674
2020,4,Santa Fe,287.271,414.746,62.692,38.712,17.392,820.813
2020,4,Santiago Del Estero,26.812,70.522,570,5.169,3.596,106.669
2020,4,Tierra Del Fuego,12.853,26.439,6,0,316,39.614
2020,4,Tucumán,149.322,11.150,68.043,1.834,740,231.089
2020,3,Buenos Aires,653.930,2.384.557,749.087,94.162,55.541,3.937.277
2020,3,Capital Federal,170.375,1.129.573,39.417,3.936,29.374,1.372.675
2020,3,Catamarca,26.868,3.690,16.857,261,2.228,49.904
2020,3,Chaco,45.745,58.825,20.675,6.706,2.003,133.954
2020,3,Chubut,45.761,39.386,2.897,23.216,18.767,130.027
2020,3,Córdoba,276.360,430.771,102.217,48.368,9.756,867.472
2020,3,Corrientes,50.858,58.681,2.960,5.513,5.379,123.391
2020,3,Entre Ríos,87.892,106.950,13.954,20.379,12.320,241.495
2020,3,Formosa,21.790,10.003,2.000,15.023,393,49.209
2020,3,Jujuy,32.611,57.682,11.112,952,4.371,106.728
2020,3,La Pampa,9.015,56.845,14.677,11.893,1.305,93.735
2020,3,La Rioja,17.346,34.984,1,250,35,52.616
2020,3,Mendoza,91.908,64.672,32.817,17.523,868,207.788
2020,3,Misiones,50.195,77.989,2.572,3.445,8.985,143.186
2020,3,Neuquén,30.222,70.446,11.043,16.787,737,129.235
2020,3,Río Negro,49.530,40.001,10.381,13.187,18.368,131.467
2020,3,Salta,58.216,84.128,25.445,5.764,7.293,180.846
2020,3,San Juan,40.092,9.223,5.509,14.023,8.480,77.327
2020,3,San Luis,8.401,10.077,6,61.828,36.253,116.565
2020,3,Santa Cruz,12.845,16.098,1.027,6.938,2.373,39.281
2020,3,Santa Fe,295.051,405.807,45.721,37.112,19.307,802.998
2020,3,Santiago Del Estero,26.419,70.720,555,4.185,3.613,105.492
2020,3,Tierra Del Fuego,12.854,26.491,0,0,310,39.655
2020,3,Tucumán,149.605,11.752,59.949,1.808,762,223.876
2020,2,Buenos Aires,661.272,2.244.277,723.072,91.736,57.189,3.777.546
2020,2,Capital Federal,178.896,1.106.133,39.482,3.937,29.373,1.357.821
2020,2,Catamarca,26.968,3.641,14.878,261,2.228,47.976
2020,2,Chaco,46.816,56.017,17.266,6.452,1.581,128.132
2020,2,Chubut,45.761,38.279,1.324,17.678,5.614,108.656
2020,2,Córdoba,282.858,415.007,85.818,44.522,8.263,836.468
2020,2,Corrientes,51.248,55.536,3.144,3.927,5.011,118.866
2020,2,Entre Ríos,89.391,99.423,13.954,20.042,11.303,234.113
2020,2,Formosa,21.805,9.353,1.882,14.723,169,47.932
2020,2,Jujuy,32.705,38.938,5.057,952,16.664,94.316
2020,2,La Pampa,8.551,54.422,14.232,11.314,1.290,89.809
2020,2,La Rioja,16.885,34.984,1,250,35,52.155
2020,2,Mendoza,91.904,62.941,29.613,15.924,802,201.184
2020,2,Misiones,50.792,74.497,2.579,3.319,9.153,140.340
2020,2,Neuquén,30.256,67.990,11.037,15.755,1.134,126.172
2020,2,Río Negro,49.756,39.650,10.382,11.331,18.367,129.486
2020,2,Salta,59.502,81.740,24.289,5.123,7.108,177.762
2020,2,San Juan,40.092,8.275,5.509,7.019,8.882,69.777
2020,2,San Luis,8.401,8.357,6,60.935,36.253,113.952
2020,2,Santa Cruz,12.845,16.044,1.027,6.585,2.368,38.869
2020,2,Santa Fe,299.974,381.679,46.698,30.487,19.094,777.932
2020,2,Santiago Del Estero,25.917,72.074,355,3.038,4.063,105.447
2020,2,Tierra Del Fuego,12.854,26.025,0,0,310,39.189
2020,2,Tucumán,150.084,9.833,55.120,1.357,762,217.156
2020,1,Buenos Aires,673.237,2.210.349,720.688,85.443,18.334,3.708.051
2020,1,Capital Federal,184.494,1.097.635,38.898,3.911,28.556,1.353.494
2020,1,Catamarca,21.945,3.146,12.056,261,2.227,39.635
2020,1,Chaco,46.356,54.144,11.958,6.239,1.580,120.277
2020,1,Chubut,45.763,27.287,1.324,16.885,5.479,96.738
2020,1,Córdoba,286.168,406.109,68.512,41.617,8.693,811.099
2020,1,Corrientes,51.126,53.231,2.172,2.437,5.004,113.970
2020,1,Entre Ríos,90.368,95.434,13.245,18.737,14.062,231.846
2020,1,Formosa,21.068,8.887,1.800,14.510,169,46.434
2020,1,Jujuy,32.066,38.938,3.078,942,16.641,91.665
2020,1,La Pampa,8.553,53.755,13.821,11.295,1.802,89.226
2020,1,La Rioja,13.076,34.984,0,251,29,48.340
2020,1,Mendoza,91.955,50.251,28.059,12.465,722,183.452
2020,1,Misiones,51.458,69.452,1.220,460,10.962,133.552
2020,1,Neuquén,29.305,65.951,11.031,14.711,729,121.727
2020,1,Río Negro,47.756,38.479,10.381,11.222,18.362,126.200
2020,1,Salta,60.426,75.593,23.025,4.125,7.212,170.381
2020,1,San Juan,40.092,6.448,5.508,7.082,5.101,64.231
2020,1,San Luis,8.301,7.612,5,58.301,36.333,110.552
2020,1,Santa Cruz,12.845,15.766,1.026,6.817,2.368,38.822
2020,1,Santa Fe,302.366,383.673,35.123,30.488,19.468,771.118
2020,1,Santiago Del Estero,24.695,70.424,200,2.779,4.657,102.755
2020,1,Tierra Del Fuego,12.854,25.632,0,0,308,38.794
2020,1,Tucumán,143.184,10.494,44.687,1.355,347,200.067
2019,4,Buenos Aires,720.011,2.191.672,669.194,87.111,18.266,3.686.254
2019,4,Capital Federal,196.938,1.093.143,35.534,3.914,28.576,1.358.105
2019,4,Catamarca,22.999,3.318,9.506,261,2.227,38.311
2019,4,Chaco,48.661,53.602,8.831,5.229,1.580,117.903
2019,4,Chubut,47.045,26.977,1.324,15.267,5.489,96.102
2019,4,Córdoba,296.872,410.038,53.335,37.750,8.693,806.688
2019,4,Corrientes,52.525,51.845,2.002,2.458,5.004,113.834
2019,4,Entre Ríos,92.981,99.206,12.875,18.561,15.407,239.030
2019,4,Formosa,21.567,8.684,1.760,14.531,169,46.711
2019,4,Jujuy,32.949,37.604,873,814,16.641,88.881
2019,4,La Pampa,15.457,56.854,4.942,11.341,1.805,90.399
2019,4,La Rioja,13.738,34.984,0,251,29,49.002
2019,4,Mendoza,96.678,49.711,24.989,13.672,730,185.780
2019,4,Misiones,53.116,69.676,847,441,11.733,135.813
2019,4,Neuquén,29.826,60.970,10.549,14.246,854,116.445
2019,4,Río Negro,49.747,37.933,9.658,11.437,18.365,127.140
2019,4,Salta,63.272,76.062,21.865,3.040,8.206,172.445
2019,4,San Juan,41.360,6.338,4.931,7.241,5.104,64.974
2019,4,San Luis,8.569,8.027,6,55.266,36.333,108.201
2019,4,Santa Cruz,13.264,15.899,1.036,6.800,2.371,39.370
2019,4,Santa Fe,312.072,382.254,27.464,26.978,20.401,769.169
2019,4,Santiago Del Estero,24.682,71.239,200,2.810,4.657,103.588
2019,4,Tierra Del Fuego,13.261,26.821,0,0,310,40.392
2019,4,Tucumán,146.985,11.012,39.574,725,348,198.644
2019 *,3 *,Buenos Aires,1.277.249,2.144.956,425.386,85.572,27.070,3.960.233
2019 *,3 *,Capital Federal,300.288,1.080.973,24.900,3.895,31.155,1.441.211
2019 *,3 *,Catamarca,24.349,5.543,13,244,2.251,32.400
2019 *,3 *,Chaco,50.416,49.156,8.063,5.224,1.592,114.451
2019 *,3 *,Chubut,37.298,27.090,1.917,15.149,7.551,89.005
2019 *,3 *,Córdoba,307.780,399.231,30.064,37.277,8.701,783.053
2019 *,3 *,Corrientes,53.344,50.230,1.888,2.458,4.839,112.759
2019 *,3 *,Entre Ríos,94.947,96.305,12.888,18.530,15.432,238.102
2019 *,3 *,Formosa,21.777,8.359,1.476,14.292,162,46.066
2019 *,3 *,Jujuy,33.110,35.742,274,812,16.638,86.576
2019 *,3 *,La Pampa,19.469,52.941,4.994,11.462,1.962,90.828
2019 *,3 *,La Rioja,14.390,34.984,11,251,41,49.677
2019 *,3 *,Mendoza,148.640,54.312,6.865,12.975,1.545,224.337
2019 *,3 *,Misiones,54.493,65.872,829,419,12.270,133.883
2019 *,3 *,Neuquén,43.347,60.484,5.560,13.512,2.518,125.421
2019 *,3 *,Río Negro,67.478,37.425,9.739,10.806,18.847,144.295
2019 *,3 *,Salta,65.799,74.329,733,1.580,9.394,151.835
2019 *,3 *,San Juan,51.670,7.425,1.227,7.241,5.535,73.098
2019 *,3 *,San Luis,13.037,10.561,350,62.286,36.466,122.700
2019 *,3 *,Santa Cruz,10.663,17.056,969,6.544,2.738,37.970
2019 *,3 *,Santa Fe,319.396,377.171,18.690,24.269,21.408,760.934
2019 *,3 *,Santiago Del Estero,24.556,71.198,219,2.759,34.400,133.132
2019 *,3 *,Tierra Del Fuego,19.790,26.659,651,0,1.487,48.587
2019 *,3 *,Tucumán,150.918,12.089,116,684,324,164.131
2019 *,2 *,Buenos Aires,1.284.658,2.079.900,382.971,75.240,32.929,3.855.698
2019 *,2 *,Capital Federal,309.937,1.061.358,36.082,3.962,4.281,1.415.620
2019 *,2 *,Catamarca,25.682,5.543,13,146,2.251,33.635
2019 *,2 *,Chaco,50.765,47.448,4.203,4.727,1.591,108.734
2019 *,2 *,Chubut,37.313,26.338,1.917,14.443,7.545,87.556
2019 *,2 *,Córdoba,314.768,388.254,23.023,33.847,15.236,775.128
2019 *,2 *,Corrientes,53.835,47.431,1.701,2.444,6.138,111.549
2019 *,2 *,Entre Ríos,97.081,91.081,12.764,17.369,17.529,235.824
2019 *,2 *,Formosa,21.916,8.686,1.382,14.292,162,46.438
2019 *,2 *,Jujuy,33.022,30.742,274,812,21.857,86.707
2019 *,2 *,La Pampa,19.471,52.101,4.840,10.789,3.004,90.205
2019 *,2 *,La Rioja,15.014,34.984,11,251,41,50.301
2019 *,2 *,Mendoza,148.673,54.027,6.865,12.748,1.544,223.857
2019 *,2 *,Misiones,55.373,64.272,543,421,12.269,132.878
2019 *,2 *,Neuquén,43.420,59.021,4.983,12.792,2.737,122.953
2019 *,2 *,Río Negro,67.841,36.527,4.037,10.485,19.657,138.547
2019 *,2 *,Salta,68.827,62.343,725,1.210,9.463,142.568
2019 *,2 *,San Juan,51.680,7.425,1.174,2.870,6.876,70.025
2019 *,2 *,San Luis,11.130,10.298,347,57.242,38.368,117.385
2019 *,2 *,Santa Cruz,10.665,10.257,379,6.514,2.735,30.550
2019 *,2 *,Santa Fe,325.420,355.140,18.236,21.980,22.708,743.484
2019 *,2 *,Santiago Del Estero,24.393,64.783,219,2.759,34.600,126.754
2019 *,2 *,Tierra Del Fuego,19.790,25.527,651,0,1.486,47.454
2019 *,2 *,Tucumán,153.121,12.089,116,684,321,166.331
2019 *,1 *,Buenos Aires,1.304.507,2.020.730,336.362,64.867,20.201,3.746.667
2019 *,1 *,Capital Federal,328.246,1.030.814,32.281,3.978,4.281,1.399.600
2019 *,1 *,Catamarca,26.912,4.443,16,0,2.251,33.622
2019 *,1 *,Chaco,53.409,43.555,1.951,3.628,1.134,103.677
2019 *,1 *,Chubut,37.302,23.065,1.923,14.443,3.045,79.778
2019 *,1 *,Córdoba,323.272,363.959,19.902,24.615,12.367,744.115
2019 *,1 *,Corrientes,55.842,43.444,1.615,1.528,58,102.487
2019 *,1 *,Entre Ríos,100.999,90.253,12.723,16.231,12.241,232.447
2019 *,1 *,Formosa,22.570,7.878,940,13.761,62,45.211
2019 *,1 *,Jujuy,33.248,12.484,153,640,43.622,90.147
2019 *,1 *,La Pampa,18.832,57.373,2.891,9.023,1.041,89.160
2019 *,1 *,La Rioja,16.367,34.984,12,252,41,51.656
2019 *,1 *,Mendoza,148.524,40.205,5.662,10.363,1.544,206.298
2019 *,1 *,Misiones,54.898,59.214,465,426,7.717,122.720
2019 *,1 *,Neuquén,40.747,55.634,3.114,12.510,2.372,114.377
2019 *,1 *,Río Negro,68.377,34.124,3.994,9.736,4.857,121.088
2019 *,1 *,Salta,74.426,57.933,647,1.135,1.879,136.020
2019 *,1 *,San Juan,51.660,5.838,808,2.932,1.207,62.445
2019 *,1 *,San Luis,11.108,7.784,378,53.097,23.968,96.335
2019 *,1 *,Santa Cruz,10.659,4.615,382,6.514,2.735,24.905
2019 *,1 *,Santa Fe,340.038,340.344,15.621,23.215,17.860,737.078
2019 *,1 *,Santiago Del Estero,25.337,61.547,23,2.847,99,89.853
2019 *,1 *,Tierra Del Fuego,19.789,23.549,1.623,0,1.486,46.447
2019 *,1 *,Tucumán,159.215,11.670,118,678,321,172.002
2018,4,Buenos Aires,1.305.576,1.949.637,296.102,65.477,19.814,3.636.606
2018,4,Capital Federal,328.253,1.019.490,33.042,3.978,4.257,1.389.020
2018,4,Catamarca,26.912,4.443,16,0,2.212,33.583
2018,4,Chaco,53.409,43.555,1.940,3.236,1.130,103.270
2018,4,Chubut,37.215,23.065,952,14.443,3.047,78.722
2018,4,Córdoba,328.854,355.716,17.675,21.851,13.243,737.339
2018,4,Corrientes,55.842,42.418,796,1.515,30,100.601
2018,4,Entre Ríos,101.168,86.198,4.853,15.472,14.356,222.047
2018,4,Formosa,22.619,7.880,887,13.761,57,45.204
2018,4,Jujuy,33.248,12.484,153,640,43.608,90.133
2018,4,La Pampa,18.832,55.337,2.685,7.772,1.010,85.636
2018,4,La Rioja,16.367,34.984,12,252,36,51.651
2018,4,Mendoza,148.524,40.205,5.665,10.363,1.547,206.304
2018,4,Misiones,55.500,53.673,465,426,6.209,116.273
2018,4,Neuquén,40.747,55.634,3.115,12.425,2.444,114.365
2018,4,Río Negro,68.377,34.292,1.299,8.037,4.832,116.837
2018,4,Salta,74.295,57.539,638,253,1.853,134.578
2018,4,San Juan,51.660,5.838,806,2.883,1.211,62.398
2018,4,San Luis,11.108,7.784,378,53.097,23.964,96.331
2018,4,Santa Cruz,10.659,4.615,382,6.378,2.734,24.768
2018,4,Santa Fe,335.519,322.782,14.387,18.705,28.997,720.390
2018,4,Santiago Del Estero,25.339,61.243,23,2.649,81,89.335
2018,4,Tierra Del Fuego,19.789,23.349,1.623,0,1.499,46.260
2018,4,Tucumán,159.215,11.670,119,686,314,172.004
2018,3,Buenos Aires,1.435.856,1.929.273,156.382,62.318,26.448,3.610.277
2018,3,Capital Federal,334.353,1.009.252,35.694,3.872,9.319,1.392.490
2018,3,Catamarca,27.553,4.443,15,1,2.214,34.226
2018,3,Chaco,53.927,42.359,1.990,2.628,1.129,102.033
2018,3,Chubut,58.887,23.065,1.239,13.817,6.728,103.736
2018,3,Córdoba,337.620,342.401,15.785,19.213,10.839,725.858
2018,3,Corrientes,56.444,41.300,212,1.468,32,99.456
2018,3,Entre Ríos,103.318,83.714,2.403,15.093,80,204.608
2018,3,Formosa,22.777,7.589,817,13.625,57,44.865
