Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2019,3,Salta,151.834,1,151.835
2019,3,San Juan,72.535,563,73.098
2019,3,San Luis,122.409,291,122.700
2019,3,Santa Cruz,37.642,328,37.970
2019,3,Santa Fe,760.706,228,760.934
2019,3,Santiago Del Estero,133.130,2,133.132
2019,3,Tierra Del Fuego,48.043,544,48.587
2019,3,Tucumán,164.099,32,164.131
2019,2,Buenos Aires,3.845.594,10.104,3.855.698
2019,2,Capital Federal,1.412.177,3.443,1.415.620
2019,2,Catamarca,33.626,9,33.635
2019,2,Chaco,108.721,13,108.734
2019,2,Chubut,86.038,1.518,87.556
2019,2,Córdoba,775.023,105,775.128
2019,2,Corrientes,111.539,10,111.549
2019,2,Entre Ríos,235.780,44,235.824
2019,2,Formosa,46.438,- 0,46.438
2019,2,Jujuy,86.706,1,86.707
2019,2,La Pampa,89.937,268,90.205
2019,2,La Rioja,50.283,18,50.301
2019,2,Mendoza,222.535,1.322,223.857
2019,2,Misiones,132.878,- 0,132.878
2019,2,Neuquén,120.954,1.999,122.953
2019,2,Río Negro,137.632,915,138.547
2019,2,Salta,142.567,1,142.568
2019,2,San Juan,69.461,564,70.025
2019,2,San Luis,117.094,291,117.385
2019,2,Santa Cruz,30.225,325,30.550
2019,2,Santa Fe,743.258,226,743.484
2019,2,Santiago Del Estero,126.752,2,126.754
2019,2,Tierra Del Fuego,46.910,544,47.454
2019,2,Tucumán,166.299,32,166.331
2019,1,Buenos Aires,3.736.563,10.104,3.746.667
2019,1,Capital Federal,1.396.157,3.443,1.399.600
2019,1,Catamarca,33.613,9,33.622
2019,1,Chaco,103.664,13,103.677
2019,1,Chubut,78.260,1.518,79.778
2019,1,Córdoba,744.010,105,744.115
2019,1,Corrientes,102.477,10,102.487
2019,1,Entre Ríos,232.403,44,232.447
2019,1,Formosa,45.211,- 0,45.211
2019,1,Jujuy,90.146,1,90.147
2019,1,La Pampa,88.892,268,89.160
2019,1,La Rioja,51.638,18,51.656
2019,1,Mendoza,204.976,1.322,206.298
2019,1,Misiones,122.720,- 0,122.720
2019,1,Neuquén,112.321,2.056,114.377
2019,1,Río Negro,120.173,915,121.088
2019,1,Salta,136.019,1,136.020
2019,1,San Juan,61.881,564,62.445
2019,1,San Luis,96.044,291,96.335
2019,1,Santa Cruz,24.580,325,24.905
2019,1,Santa Fe,736.851,227,737.078
2019,1,Santiago Del Estero,89.851,2,89.853
2019,1,Tierra Del Fuego,45.903,544,46.447
2019,1,Tucumán,171.970,32,172.002
2018,4,Buenos Aires,3.626.502,10.104,3.636.606
2018,4,Capital Federal,1.385.577,3.443,1.389.020
2018,4,Catamarca,33.574,9,33.583
2018,4,Chaco,103.257,13,103.270
2018,4,Chubut,77.204,1.518,78.722
2018,4,Córdoba,737.234,105,737.339
2018,4,Corrientes,100.591,10,100.601
2018,4,Entre Ríos,222.003,44,222.047
2018,4,Formosa,45.204,- 0,45.204
2018,4,Jujuy,90.132,1,90.133
2018,4,La Pampa,85.368,268,85.636
2018,4,La Rioja,51.633,18,51.651
2018,4,Mendoza,204.982,1.322,206.304
2018,4,Misiones,116.273,- 0,116.273
2018,4,Neuquén,112.309,2.056,114.365
2018,4,Río Negro,115.922,915,116.837
2018,4,Salta,134.577,1,134.578
2018,4,San Juan,61.834,564,62.398
2018,4,San Luis,96.040,291,96.331
2018,4,Santa Cruz,24.443,325,24.768
2018,4,Santa Fe,720.161,229,720.390
2018,4,Santiago Del Estero,89.333,2,89.335
2018,4,Tierra Del Fuego,45.716,544,46.260
2018,4,Tucumán,171.972,32,172.004
2018,3,Buenos Aires,3.599.714,10.563,3.610.277
2018,3,Capital Federal,1.385.804,6.686,1.392.490
2018,3,Catamarca,34.215,11,34.226
2018,3,Chaco,102.021,12,102.033
2018,3,Chubut,101.310,2.426,103.736
2018,3,Córdoba,725.764,94,725.858
2018,3,Corrientes,99.445,11,99.456
2018,3,Entre Ríos,204.560,48,204.608
2018,3,Formosa,44.865,- 0,44.865
2018,3,Jujuy,44.934,1,44.935
2018,3,La Pampa,83.180,244,83.424
2018,3,La Rioja,51.855,17,51.872
2018,3,Mendoza,205.545,1.484,207.029
2018,3,Misiones,108.042,- 0,108.042
2018,3,Neuquén,114.713,2.005,116.718
2018,3,Río Negro,112.433,1.059,113.492
2018,3,Salta,132.882,1,132.883
2018,3,San Juan,63.823,658,64.481
2018,3,San Luis,74.121,300,74.421
2018,3,Santa Cruz,33.565,434,33.999
2018,3,Santa Fe,694.883,217,695.100
2018,3,Santiago Del Estero,86.358,2,86.360
2018,3,Tierra Del Fuego,45.056,508,45.564
2018,3,Tucumán,171.135,31,171.166
2018,2,Buenos Aires,3.490.134,10.565,3.500.699
2018,2,Capital Federal,1.362.498,6.688,1.369.186
2018,2,Catamarca,34.078,11,34.089
2018,2,Chaco,98.509,12,98.521
2018,2,Chubut,98.137,2.427,100.564
2018,2,Córdoba,712.979,94,713.073
2018,2,Corrientes,97.946,11,97.957
2018,2,Entre Ríos,199.937,48,199.985
2018,2,Formosa,44.554,,44.554
2018,2,Jujuy,45.132,1,45.133
2018,2,La Pampa,82.177,244,82.421
2018,2,La Rioja,51.931,17,51.948
2018,2,Mendoza,199.468,1.484,200.952
2018,2,Misiones,106.147,,106.147
2018,2,Neuquén,113.842,2.006,115.848
2018,2,Río Negro,111.176,1.059,112.235
2018,2,Salta,134.166,1,134.167
2018,2,San Juan,63.443,658,64.101
2018,2,San Luis,21.168,300,21.468
2018,2,Santa Cruz,33.970,435,34.405
2018,2,Santa Fe,684.243,309,684.552
2018,2,Santiago Del Estero,83.773,2,83.775
2018,2,Tierra Del Fuego,44.199,508,44.707
2018,2,Tucumán,169.926,31,169.957
2018,1,Buenos Aires,3.464.882,10.564,3.475.446
2018,1,Capital Federal,1.359.882,6.688,1.366.570
2018,1,Catamarca,33.934,11,33.945
2018,1,Chaco,96.925,12,96.937
2018,1,Chubut,95.532,2.427,97.959
2018,1,Córdoba,713.825,101,713.926
2018,1,Corrientes,94.406,11,94.417
2018,1,Entre Ríos,197.346,48,197.394
2018,1,Formosa,32.328,- 0,32.328
2018,1,Jujuy,44.405,1,44.406
2018,1,La Pampa,82.668,396,83.064
2018,1,La Rioja,52.228,17,52.245
2018,1,Mendoza,199.463,1.484,200.947
2018,1,Misiones,103.580,- 0,103.580
2018,1,Neuquén,115.897,2.006,117.903
2018,1,Río Negro,110.057,1.062,111.119
2018,1,Salta,133.182,1,133.183
2018,1,San Juan,62.610,658,63.268
2018,1,San Luis,21.096,300,21.396
2018,1,Santa Cruz,33.970,435,34.405
2018,1,Santa Fe,679.717,309,680.026
2018,1,Santiago Del Estero,82.916,2,82.918
2018,1,Tierra Del Fuego,31.106,508,31.614
2018,1,Tucumán,168.026,31,168.057
2017,4,Buenos Aires,3.171.206,10.690,3.181.896
2017,4,Capital Federal,1.575.418,6.906,1.582.324
2017,4,Catamarca,29.548,10,29.558
2017,4,Chaco,96.603,12,96.615
2017,4,Chubut,91.012,2.428,93.440
2017,4,Córdoba,709.874,105,709.979
2017,4,Corrientes,93.760,11,93.771
2017,4,Entre Ríos,193.654,49,193.703
2017,4,Formosa,32.056,- 0,32.056
2017,4,Jujuy,43.551,1,43.552
2017,4,La Pampa,81.675,396,82.071
2017,4,La Rioja,52.177,17,52.194
2017,4,Mendoza,178.661,1.490,180.151
2017,4,Misiones,103.895,- 0,103.895
2017,4,Neuquén,114.965,2.006,116.971
2017,4,Río Negro,108.702,1.062,109.764
2017,4,Salta,132.811,1,132.812
2017,4,San Juan,57.965,659,58.624
2017,4,San Luis,14.604,300,14.904
2017,4,Santa Cruz,29.018,434,29.452
2017,4,Santa Fe,672.137,323,672.460
2017,4,Santiago Del Estero,68.842,2,68.844
2017,4,Tierra Del Fuego,28.346,508,28.854
2017,4,Tucumán,162.298,34,162.332
2017,3,Buenos Aires,3.046.758,11.202,3.057.960
2017,3,Capital Federal,1.563.289,7.070,1.570.359
2017,3,Catamarca,33.467,11,33.478
2017,3,Chaco,93.747,12,93.759
2017,3,Chubut,81.067,2.477,83.544
2017,3,Córdoba,696.536,108,696.644
2017,3,Corrientes,92.536,12,92.548
2017,3,Entre Ríos,185.414,50,185.464
2017,3,Formosa,32.105,- 0,32.105
2017,3,Jujuy,43.241,1,43.242
2017,3,La Pampa,79.280,410,79.690
2017,3,La Rioja,51.896,17,51.913
2017,3,Mendoza,190.958,1.533,192.491
2017,3,Misiones,100.476,- 0,100.476
2017,3,Neuquén,113.755,2.029,115.784
2017,3,Río Negro,106.393,1.103,107.496
2017,3,Salta,132.517,1,132.518
2017,3,San Juan,61.789,660,62.449
2017,3,San Luis,21.408,311,21.719
2017,3,Santa Cruz,33.222,468,33.690
2017,3,Santa Fe,662.086,256,662.342
2017,3,Santiago Del Estero,82.792,2,82.794
2017,3,Tierra Del Fuego,30.883,583,31.466
2017,3,Tucumán,160.979,33,161.012
2017,2,Buenos Aires,3.067.430,11.201,3.078.631
2017,2,Capital Federal,1.592.175,8.016,1.600.191
2017,2,Catamarca,26.692,13,26.705
2017,2,Chaco,90.597,14,90.611
2017,2,Chubut,62.245,1.730,63.975
2017,2,Córdoba,657.505,133,657.638
2017,2,Corrientes,90.085,12,90.097
2017,2,Entre Ríos,182.675,57,182.732
2017,2,Formosa,29.956,- 0,29.956
2017,2,Jujuy,42.656,1,42.657
2017,2,La Pampa,72.573,449,73.022
2017,2,La Rioja,16.271,18,16.289
2017,2,Mendoza,169.302,1.451,170.753
2017,2,Misiones,99.794,- 0,99.794
2017,2,Neuquén,115.321,2.112,117.433
2017,2,Río Negro,100.621,998,101.619
2017,2,Salta,108.540,1,108.541
2017,2,San Juan,51.261,620,51.881
2017,2,San Luis,12.992,315,13.307
2017,2,Santa Cruz,26.019,369,26.388
2017,2,Santa Fe,566.918,362,567.280
2017,2,Santiago Del Estero,33.194,2,33.196
2017,2,Tierra Del Fuego,31.938,619,32.557
2017,2,Tucumán,154.374,37,154.411
2017,1,Buenos Aires,3.178.174,11.202,3.189.376
2017,1,Capital Federal,1.391.030,8.016,1.399.046
2017,1,Catamarca,26.304,13,26.317
2017,1,Chaco,89.036,14,89.050
2017,1,Chubut,62.166,1.730,63.896
2017,1,Córdoba,641.066,133,641.199
2017,1,Corrientes,88.596,12,88.608
2017,1,Entre Ríos,180.296,57,180.353
2017,1,Formosa,29.705,- 0,29.705
2017,1,Jujuy,43.202,1,43.203
2017,1,La Pampa,71.458,455,71.913
2017,1,La Rioja,16.207,18,16.225
2017,1,Mendoza,169.282,1.451,170.733
2017,1,Misiones,97.619,- 0,97.619
2017,1,Neuquén,113.227,2.112,115.339
2017,1,Río Negro,100.288,1.000,101.288
2017,1,Salta,107.632,1,107.633
2017,1,San Juan,51.253,620,51.873
2017,1,San Luis,12.992,315,13.307
2017,1,Santa Cruz,26.116,370,26.486
2017,1,Santa Fe,562.520,362,562.882
2017,1,Santiago Del Estero,34.473,2,34.475
2017,1,Tierra Del Fuego,31.938,619,32.557
2017,1,Tucumán,152.734,37,152.771
2016,4,Buenos Aires,3.131.499,11.202,3.142.701
2016,4,Capital Federal,1.393.443,8.016,1.401.459
2016,4,Catamarca,27.021,13,27.034
2016,4,Chaco,88.833,14,88.847
2016,4,Chubut,62.035,1.730,63.765
2016,4,Córdoba,636.422,133,636.555
2016,4,Corrientes,88.084,12,88.096
2016,4,Entre Ríos,180.188,57,180.245
2016,4,Formosa,29.513,- 0,29.513
2016,4,Jujuy,42.624,1,42.625
2016,4,La Pampa,71.368,460,71.828
2016,4,La Rioja,16.298,18,16.316
2016,4,Mendoza,169.274,1.451,170.725
2016,4,Misiones,97.390,- 0,97.390
2016,4,Neuquén,111.723,2.112,113.835
2016,4,Río Negro,100.020,1.000,101.020
2016,4,Salta,106.934,1,106.935
2016,4,San Juan,51.301,620,51.921
2016,4,San Luis,12.992,315,13.307
2016,4,Santa Cruz,26.094,370,26.464
2016,4,Santa Fe,561.470,362,561.832
2016,4,Santiago Del Estero,35.049,2,35.051
2016,4,Tierra Del Fuego,31.938,619,32.557
2016,4,Tucumán,151.615,37,151.652
2016,3,Buenos Aires,3.075.387,11.205,3.086.592
2016,3,Capital Federal,1.395.053,8.051,1.403.104
2016,3,Catamarca,26.957,13,26.970
2016,3,Chaco,89.216,14,89.230
2016,3,Chubut,62.222,1.730,63.952
2016,3,Córdoba,642.458,133,642.591
2016,3,Corrientes,88.328,12,88.340
2016,3,Entre Ríos,181.092,57,181.149
2016,3,Formosa,27.716,- 0,27.716
2016,3,Jujuy,42.537,1,42.538
2016,3,La Pampa,69.903,461,70.364
2016,3,La Rioja,16.912,18,16.930
2016,3,Mendoza,169.174,1.450,170.624
2016,3,Misiones,97.997,- 0,97.997
2016,3,Neuquén,110.491,2.112,112.603
2016,3,Río Negro,100.024,1.002,101.026
2016,3,Salta,107.790,1,107.791
2016,3,San Juan,51.348,620,51.968
2016,3,San Luis,12.978,315,13.293
2016,3,Santa Cruz,25.886,371,26.257
2016,3,Santa Fe,566.625,386,567.011
2016,3,Santiago Del Estero,35.658,2,35.660
2016,3,Tierra Del Fuego,31.306,619,31.925
2016,3,Tucumán,151.282,37,151.319
2016,2,Buenos Aires,3.032.776,12.515,3.045.291
2016,2,Capital Federal,1.384.824,9.760,1.394.584
2016,2,Catamarca,26.543,13,26.556
2016,2,Chaco,88.235,16,88.251
2016,2,Chubut,62.116,1.740,63.856
2016,2,Córdoba,634.680,234,634.914
2016,2,Corrientes,86.932,24,86.956
2016,2,Entre Ríos,178.194,179,178.373
2016,2,Formosa,28.801,1,28.802
2016,2,Jujuy,41.187,2,41.189
2016,2,La Pampa,68.403,485,68.888
2016,2,La Rioja,16.718,18,16.736
2016,2,Mendoza,169.274,1.550,170.824
2016,2,Misiones,95.808,7,95.815
2016,2,Neuquén,108.224,2.291,110.515
2016,2,Río Negro,99.631,1.073,100.704
2016,2,Salta,104.929,3,104.932
2016,2,San Juan,51.392,621,52.013
2016,2,San Luis,12.939,317,13.256
2016,2,Santa Cruz,25.797,356,26.153
2016,2,Santa Fe,563.867,607,564.474
2016,2,Santiago Del Estero,36.958,3,36.961
2016,2,Tierra Del Fuego,30.740,619,31.359
2016,2,Tucumán,148.636,41,148.677
2016,1,Buenos Aires,2.929.903,12.612,2.942.515
2016,1,Capital Federal,1.328.079,9.817,1.337.896
